Field_ID,Year,Quality,Yield
IG2LSYJ,2019,3,10.127
P706TB5,2019,2,9.274
N8C2RRU,2019,2,3.0610000000000004
SDLK40N,2019,2,2.45
JSXLX6P,2019,3,7.559
NZW5H9T,2019,3,5.442
V8Q9LR3,2019,1,5.102
65KV07T,2019,3,9.318999999999999
FZLL7EA,2019,3,10.127
7G7PKJL,2019,2,4.484
PSBBON2,2019,1,3.79
G7A4DH9,2019,1,6.58
SG524VT,2019,2,7.912999999999999
0Y3HK56,2019,3,6.386
MXBVP83,2019,2,3.748
WWERQZ5,2019,2,6.968999999999999
IVSQV1Q,2019,1,3.29
7MTWGHQ,2019,3,8.468
EIHWBYP,2019,3,5.74
IU5PSBL,2019,1,4.026
C9643W0,2019,1,5.1370000000000005
X5DN33F,2019,3,2.443
T6NV1RS,2019,1,6.039
F2GS6X3,2019,2,3.734
ZT0PBD8,2019,2,2.423
39CHJHM,2019,2,10.127
QEUXXFJ,2019,2,3.318
CEA38QS,2019,2,2.7769999999999997
HUHC63V,2019,1,5.4
ICM0XVS,2019,3,3.2489999999999997
GPR6PG0,2019,3,5.97
DH1B7NJ,2019,3,2.992
67W2NF1,2019,3,4.012
9UR0MRQ,2019,1,2.86
C3RH2VQ,2019,2,3.242
6CWNNUW,2019,2,4.269
3CWBYMC,2019,3,3.1439999999999997
KMVBUT7,2019,3,3.6510000000000002
MW5QH3U,2019,3,4.262
HU1MQT7,2019,2,7.5729999999999995
D9R92LW,2019,2,4.72
R9WOP3G,2019,2,4.2410000000000005
LALUNDX,2019,3,2.783
C20NUTS,2019,3,1.902
B7Z6UZS,2019,2,4.269
UQJ424Q,2019,2,3.977
BX8RGJG,2019,3,2.617
03Y1F7S,2019,2,2.679
HFVGKRG,2019,3,3.79
SDKPTC5,2019,3,4.692
SS3FNAD,2019,3,2.95
0UYQLWE,2019,3,3.859
WJOBAED,2019,3,5.1160000000000005
FXWYRDW,2019,2,1.8259999999999998
QHYEKOE,2019,2,5.227
DGDDH9Z,2019,3,4.602
I01NWXD,2019,1,4.387
JE946NT,2019,2,4.734
FNVW2WM,2019,2,4.651
O7ZEC4G,2019,2,3.95
8IDDM2Q,2019,2,2.915
7ST4TJF,2019,3,1.916
V2OQZA9,2019,3,5.053
NKUUW8A,2019,2,5.012
XVWMLBJ,2019,3,4.345
JO1AE58,2019,2,2.9010000000000002
W1RMK7O,2019,2,2.9219999999999997
0J8FZ1S,2019,2,2.2769999999999997
E5TAUCS,2019,2,4.526
SHQE00S,2019,2,2.082
G3GUYGF,2019,2,2.582
YEBAUTR,2019,2,3.221
D5DND4P,2019,2,3.2489999999999997
IUBXVV5,2019,3,2.693
UAKPL84,2019,2,2.082
I8SL7V9,2019,2,3.575
UQZEVND,2019,3,3.9010000000000002
RXYUE19,2019,3,4.005
Q0SANGO,2019,2,5.497999999999999
QTP3Q1O,2019,2,4.97
KUQ0QHL,2019,3,3.623
D6M9N1G,2019,2,3.873
PMWVHPQ,2019,1,5.227
ZSDMRAP,2019,3,8.337
GAO8W67,2019,1,7.455
GLUK0MG,2019,3,4.692
1CZ23LQ,2019,2,5.865
OCC3TFM,2019,2,3.214
URYD3R3,2019,3,4.101
VTHPSOP,2019,3,4.92
GNKIHYF,2019,2,3.8110000000000004
RE3XPUK,2019,2,4.373
IZEPC1Y,2019,3,4.79
BG08VR8,2019,3,4.317
NYNFYVL,2019,2,4.005
0G8PCR9,2019,2,4.79
C1YYA7E,2019,3,3.6510000000000002
NYHCIJE,2019,2,4.007
4557XNE,2019,2,6.664
52A7DHU,2019,1,5.636
UAKYG16,2019,3,1.756
8HRI377,2019,3,2.089
QQJOWID,2019,3,2.645
C8UKBLX,2019,2,4.005
DTCLHNB,2019,3,2.679
P5LT5NI,2019,3,2.853
QO3R84O,2019,2,1.867
UJTZAVO,2019,3,5.372999999999999
R4D1736,2019,1,1.715
UST2XYE,2019,2,5.171
TMQEMDI,2019,2,5.734
7GGJ7H0,2019,3,4.873
H79BG25,2019,3,3.165
SE26TL3,2019,2,5.019
IMALB6M,2019,2,3.675
PK41YOT,2019,3,5.474
IW0WOA9,2019,1,4.178999999999999
SQ2SHTH,2019,1,5.393
2W91UWR,2019,3,4.505
GOW06N5,2019,3,3.6510000000000002
BHFFHA9,2019,3,3.1860000000000004
JR2AY0N,2019,3,4.19
26M73NB,2019,3,4.553999999999999
5QLHEWH,2019,3,3.179
TOYQB0J,2019,2,3.6860000000000004
KHEYXNV,2019,3,2.388
989FIA8,2019,3,4.026
C66GOFU,2019,2,1.5619999999999998
AX0UVDN,2019,3,6.067
8KZTZ5L,2019,2,1.236
S0MY852,2019,2,2.6839999999999997
TK5MGO1,2019,2,4.098
J3QDFUG,2019,3,2.0140000000000002
MKT0LCD,2019,3,2.679
57G9K8X,2019,1,3.054
2DNGBME,2019,3,4.54
JKAB6K7,2019,1,4.327
5SP797N,2019,2,4.387
Q2B5FGE,2019,3,5.2620000000000005
J0LMYEY,2019,3,3.464
63D1H1W,2019,3,1.767
FDXT279,2019,3,0.521
LO89BGW,2019,3,3.623
HTQ3TCG,2019,2,4.672
BU32X2Y,2019,2,4.2410000000000005
LIVRJYT,2019,2,6.428
428CQ1G,2019,2,5.678
J72Y7JN,2019,2,5.852
AFK8ETP,2019,2,7.211
LR9JSKZ,2019,3,5.529
GZUI7EU,2019,3,7.101
GS1FI8I,2019,2,10.127
X70GR3S,2019,2,4.145
GE5WDO3,2019,2,5.38
YT6K608,2019,3,6.392
CK88THP,2019,3,5.989
79T99DN,2019,3,5.642
Z0XKLQ1,2019,2,4.041
CQWH6MY,2019,3,5.699
TNF1P3Y,2019,3,2.61
D38009G,2019,2,5.657
4KIUP87,2019,3,3.7960000000000003
499HNZA,2019,3,6.419
LZFBHI6,2019,3,5.649
0OB3DB4,2019,3,5.561
K9TEQEQ,2019,2,6.396
Q16XINF,2019,2,10.127
GFF1ZO9,2019,2,8.92
9NSW2QE,2019,3,5.296
WYPNF4M,2019,3,5.935
I8VTA62,2019,1,2.971
SNPX7HH,2019,1,3.952
EV9E7WT,2019,1,0.888
0VQCU11,2019,1,1.5619999999999998
D896L2Y,2019,1,5.005
QV0GHVY,2019,3,2.895
RHY6BJF,2019,3,2.4290000000000003
E6ZEIX2,2019,3,3.845
XAW8YXA,2019,3,4.567
XJV2CUJ,2019,2,3.859
DZ3BGNS,2019,3,5.38
DLY798K,2019,3,4.56
ZX8WV5Z,2019,3,1.006
DXI26S0,2019,1,5.803
V7ZC7X0,2019,3,4.283
JF1SHYC,2019,2,3.596
EUBDDQV,2019,3,4.984
MMRTNEP,2019,2,6.782
IO7W4ZN,2019,3,5.81
TW8U5I2,2019,2,5.247999999999999
GNCBVMF,2019,1,4.658
NTBG91Q,2019,2,3.804
7RCNYXL,2019,1,2.374
SHBPRMV,2019,2,4.442
8JTAAP1,2019,3,5.1160000000000005
V7FZOH2,2019,1,4.672
PSPIRZ4,2019,3,3.318
SO0X0M4,2019,2,3.464
WPRDPOA,2019,3,8.468
8FUB31U,2019,1,1.819
9WR7V4Y,2019,3,2.735
2PN27LA,2019,3,2.124
8HCRJGP,2019,2,4.456
M1UV5VD,2019,2,2.249
B3CCVKR,2019,1,5.65
044LFBM,2019,1,4.734
913L5MS,2019,2,4.206
4KTB7DX,2019,3,5.1160000000000005
4KE7ZYR,2019,2,2.506
A7TN9MD,2019,2,5.032
2Z98C2I,2019,2,3.512
XITUW2R,2019,2,4.276
O448R6K,2019,1,4.317
KU2HFID,2019,2,3.013
VQOTTTD,2019,3,4.436
IO33LTY,2019,3,4.734
MQZDCD9,2019,2,3.491
9MNH58X,2019,2,3.596
D4QA7TO,2019,2,3.554
0EA3182,2019,3,2.4290000000000003
AIN67VC,2019,3,1.367
JJNVO1S,2019,3,0.9159999999999999
P0Y326Q,2019,2,1.242
FGQNWWH,2019,2,1.479
RILE1DC,2019,2,4.484
05XW1GO,2019,2,3.228
RSK7CJB,2019,3,0.507
RKIC5GQ,2019,2,5.636
MZIVL09,2019,2,2.374
5DT9FRW,2019,3,3.665
1APSIPG,2019,2,2.832
6HTJQ1G,2019,3,3.825
HS8YEM0,2019,2,4.197
P3AHWJ0,2019,2,4.269
5WEHXJ7,2019,2,5.525
57M8TZW,2019,2,4.565
EAFOF2Z,2019,2,3.859
HR9XTAJ,2019,3,8.26
90W9HUS,2019,3,5.99
7UCUB60,2019,1,6.455
XPDLZUO,2019,2,3.471
U2C1I8Q,2019,2,2.353
M0MPDMB,2019,2,3.575
RGNXCFB,2019,2,2.499
HVNUJD9,2019,2,4.901
I6QF1AD,2019,1,1.305
O4GEBFW,2019,3,3.367
FVQHKLY,2019,2,3.353
T0YU1K9,2019,2,3.367
OFENDKO,2019,2,2.645
2DXCF8N,2019,3,3.665
SCQAP2N,2019,1,4.394
NX12K27,2019,2,3.741
NTMK73U,2019,1,1.666
RNV7JGJ,2019,3,3.589
UI1PCHF,2019,2,1.597
KIZVGS9,2019,2,3.568
GRFWXP1,2019,2,3.616
6ZO0FM5,2019,3,2.6239999999999997
6YT93ZT,2019,2,3.929
BJI32HQ,2019,2,2.228
VP1VPFV,2019,3,2.0340000000000003
YZB6B8D,2019,2,3.658
30DGLGQ,2019,3,2.7489999999999997
TLZ96J7,2019,2,3.568
QSVKSJB,2019,3,2.0340000000000003
QYNNB05,2019,2,1.263
1XAE094,2019,2,3.4010000000000002
2S0JI0X,2019,2,2.18
SQ5V2OT,2019,3,5.4910000000000005
6B42A8M,2019,2,5.317
D2V84QN,2019,2,1.093
QGFMZ3W,2019,2,2.707
ZBHOAPM,2019,3,4.345
GE2O6Y3,2019,1,3.984
MDQJ568,2019,2,3.332
1VTG9MX,2019,3,2.659
E6UD5OS,2019,3,2.665
Y9QQNZW,2019,3,2.464
FNE9Y1B,2019,3,5.706
LQJ65GF,2019,2,4.602
FT3VG8R,2019,2,2.978
UR8GDJ2,2019,3,3.033
G1BX3MZ,2019,2,5.768
82YLB7C,2019,3,3.7760000000000002
TJ351XP,2019,2,3.325
H1TYBHP,2019,2,5.428
UL5XKCB,2019,3,7.8229999999999995
GTLFC6G,2019,3,3.304
N2EE9RE,2019,3,6.171
Y2VOHH5,2019,2,5.886
2T1CLJU,2019,2,3.804
G7LZN0T,2019,2,4.567
XJ3M64C,2019,2,7.17
UH21KBR,2019,2,2.5469999999999997
R8O2OT9,2018,1,5.255
SNIQFIH,2018,3,0.292
8YM2R3L,2018,3,4.533
MUS3T7I,2018,2,3.2
0CVTT6O,2018,2,2.61
JFDLSYH,2018,2,3.353
DWOV6QC,2018,2,4.831
BBZJOUM,2018,2,3.957
W8QOX9M,2018,3,2.187
6GYFDNC,2018,3,3.762
D4EUDD4,2018,3,2.2769999999999997
VP2WF97,2018,3,3.4010000000000002
BM7EY73,2018,3,4.512
FCA6DGF,2018,3,2.536
DZWE37H,2018,3,7.747000000000001
AFZPZVF,2018,1,2.7769999999999997
IPUO4E0,2018,3,2.735
KIMSLH9,2018,3,3.832
EBF70VU,2018,3,4.672
QT5YP2B,2018,2,3.596
3ESBAJA,2018,1,2.381
I3ZJ86X,2018,2,3.714
4J4P3LC,2018,2,6.622000000000001
7XOD58M,2018,2,2.7769999999999997
0EVPTT3,2018,2,5.289
KBI98AA,2018,2,3.762
U31H7TI,2018,2,4.873
J3QJ2B6,2018,2,3.353
NTJ2JC0,2018,2,2.513
J3GOGCP,2018,2,4.38
Z1SVV99,2018,3,3.575
EROQBE0,2018,1,2.082
P5UUQHX,2018,2,7.4479999999999995
1ZBJC4K,2018,3,6.865
RI4GYED,2018,3,4.109
I3TG9OY,2018,3,3.9010000000000002
XPGKGEJ,2018,2,2.138
9UICMSS,2018,2,6.9270000000000005
IGBGX7Z,2018,3,5.1160000000000005
TY48COF,2018,2,4.005
D8WCHS5,2018,3,1.5130000000000001
2PNNAJ0,2018,3,4.533
AHJ21TN,2018,3,3.054
HO618GE,2018,3,4.706
KI6J6AB,2018,3,2.6719999999999997
ZVMNVJ3,2018,3,4.061
8WW6Q3S,2018,3,4.963
IKRBV6T,2018,3,5.754
VG8KOBJ,2018,3,5.414
D6QXQIT,2018,3,2.013
9VQSYQD,2018,2,8.815
445AC87,2018,2,3.845
XK7201N,2018,3,2.7769999999999997
YJ9HMCH,2018,3,3.29
U9Q82RW,2018,3,3.929
B3QNA5M,2018,1,5.556
T62S761,2018,1,5.442
7P5DFIB,2018,1,6.796
7TY1QE7,2018,1,1.819
22I1EVT,2018,3,4.269
D012AKE,2018,3,3.137
WO4CU1R,2018,3,3.353
XJ0TWJW,2018,2,2.665
YZX5IN2,2018,2,10.127
HVA8XS5,2018,3,5.15
TCM3A8N,2018,2,4.484
4YRNT6T,2018,1,5.539
NB39KA5,2018,3,7.5520000000000005
NTWQW33,2018,3,5.081
0MCD74N,2018,2,4.54
6JGY5II,2018,3,5.131
UNQHRON,2018,3,2.4290000000000003
FRT968H,2018,3,2.8569999999999998
YB4737C,2018,3,3.532
I5W41U2,2018,3,4.265
4ZG6SEF,2018,2,5.976
H6DTUSI,2018,2,4.665
T0O4W37,2018,3,2.096
6HIA4Q8,2018,2,3.443
LJSP4CJ,2018,2,2.6860000000000004
H7IA99X,2018,2,5.942
6UY0G8C,2018,1,4.928
UKAEQBT,2018,2,4.337
ISJUYC2,2018,3,3.79
KYSCQZV,2018,3,5.178
8155QOR,2018,2,2.568
FPZF2X7,2018,1,5.06
8T9PQ59,2018,2,3.609
WKUB0CU,2018,3,2.492
IY7RH5Z,2018,3,2.1590000000000003
HF5AMKB,2018,3,1.131
A4E5D1G,2018,2,5.962999999999999
1QI3KNI,2018,3,4.053999999999999
UDC36FJ,2018,1,2.062
21NB4QI,2018,2,2.478
9QF4HRV,2018,3,3.11
JJEAL7L,2018,2,3.887
E04A9Z3,2018,2,1.166
RLFCGW6,2018,3,2.5269999999999997
HD0C7PY,2018,2,4.8660000000000005
0QEATF9,2018,3,2.888
3OMFEFM,2018,1,3.29
41XVVPW,2018,2,2.249
U9IGQSV,2018,3,2.464
AVJHBPI,2018,2,2.478
9H47CIW,2018,3,6.303
OYNLL9K,2018,2,1.409
VCRDVXH,2018,3,1.61
PSK52FF,2018,2,2.193
7F5AOPX,2018,3,2.985
NVU2I0K,2018,1,1.5619999999999998
1OO8BJ2,2018,2,4.831
0WP3OCV,2018,3,2.325
C1PXDHX,2018,2,2.86
2LPG4YC,2018,2,2.6519999999999997
61DXU7B,2018,2,4.512
J90KVPB,2018,2,3.367
YQ746ZZ,2018,3,2.6719999999999997
0YTIGAM,2019,2,1.011
8J3ZFNP,2019,1,1.224
MJD3XP2,2019,1,0.9790000000000001
2DLDZHU,2019,2,1.1179999999999999
0BMLPKV,2019,2,0.868
LZTB86A,2019,2,1.381
T5WPSJP,2019,3,0.882
NBGKZ1T,2019,2,0.757
R5LVVW6,2019,3,1.3880000000000001
S4LL70S,2019,2,0.882
PKU906G,2019,1,1.923
HE9IBV9,2019,1,1.416
UW1LX7K,2019,2,1.1740000000000002
74ALOL2,2019,3,1.59
M2V29TP,2019,2,2.291
JFXVUIH,2019,3,2.291
HW8CWC0,2019,3,0.569
NUXIHIN,2019,3,0.375
9ARLMCM,2019,1,0.833
QADOTMJ,2019,3,0.514
S8Q1ADT,2019,3,0.215
P7D8OW6,2019,1,1.131
9C0HM7M,2019,2,1.4580000000000002
CDZRFPU,2019,2,0.7909999999999999
W11OMRN,2019,1,0.833
YSJWU6W,2019,2,0.521
42FJQCE,2019,2,0.125
748GTKA,2019,2,0.514
HVKDXPB,2019,2,1.194
7P2Q7ZD,2019,2,2.062
B1FJBBU,2019,1,0.062
4CQ6BYU,2019,2,0.5760000000000001
MKQ4NV4,2019,1,0.888
3D51LVT,2019,1,0.40299999999999997
RV2FT87,2019,1,3.859
558NCKR,2019,1,0.958
0ZA6DUZ,2019,3,1.8459999999999999
JQEH9K5,2019,3,0.555
LA9SHKB,2019,1,1.4909999999999999
02C6JZZ,2019,2,4.053999999999999
X5XWX9V,2019,1,0.777
Q8NMO4S,2019,2,3.304
6FKG23C,2019,2,0.611
7TOPOSP,2019,1,1.749
NAKTK3C,2019,1,1.43
J6PO81M,2019,2,2.082
MUCC66V,2019,1,0.632
ZW318FZ,2019,3,1.166
OIY1Q7Y,2019,2,2.603
VKXGAU9,2019,2,1.8880000000000001
ZVY73A1,2019,2,2.7769999999999997
Q9H36AE,2019,3,3.804
RFADWDL,2019,3,2.707
T13RVHP,2019,2,5.442
SZ5T2DI,2019,3,4.79
6YLD1A6,2019,3,4.213
SPXDYVO,2019,2,2.471
TB3V5B3,2019,3,2.221
CYDA57A,2019,2,4.026
Q9I51CU,2019,1,3.54
MPUWLCZ,2019,2,1.944
U505LJD,2019,2,2.221
FGYHUQX,2019,3,2.499
HHR327B,2019,2,4.165
4LF7IHN,2019,3,1.805
GCVSJJD,2019,1,1.805
3H5WZXT,2019,2,2.291
HFYLSF8,2019,2,6.317
MMQE4NU,2019,3,3.714
WU0YZI2,2019,2,2.6719999999999997
QS7VZZC,2019,2,2.9989999999999997
9T5F13C,2019,1,2.318
0MIQWM9,2019,2,3.845
1GYGJ2F,2019,1,1.3019999999999998
EJAVMNQ,2019,3,2.2840000000000003
FS2TLI7,2019,2,1.985
MRMYTIK,2019,2,4.22
LAVSG05,2019,3,1.3880000000000001
1OX5P8G,2019,2,2.221
HAICDH5,2019,2,3.887
U71Y401,2019,3,0.966
A6PHLW3,2019,1,1.655
5ZXLUZD,2019,1,7.597
5VWDKOT,2019,2,0.29
T5DEGBO,2019,1,2.699
MNKPZKQ,2019,1,2.3819999999999997
0VVZPV9,2019,1,1.281
9MKN2WA,2019,3,0.469
7TDZ98S,2019,1,4.52
9S3IRT2,2019,1,1.8119999999999998
LX9S69Y,2019,1,2.443
IHYIQC1,2019,2,3.262
EVIWCHS,2019,2,4.172
NMH7LEC,2019,2,3.6910000000000003
7UO1B6J,2019,3,0.888
J7MI9IV,2019,2,1.597
WAAZQ3A,2019,2,7.218999999999999
C95MO3X,2019,3,2.1519999999999997
T9RK60O,2019,2,6.178
0RTX90Q,2019,3,2.728
ZP7VMZG,2019,2,3.576
1AS3WRS,2019,2,1.6869999999999998
4IZQ1UA,2019,2,4.297
S16EHA8,2019,1,2.846
OQJPAEY,2019,2,1.652
X2C27P8,2019,2,0.966
ECRAHAX,2019,1,2.964
3HG8GMP,2019,1,0.8390000000000001
EJIH51Z,2019,2,1.705
ZPD440R,2019,2,1.9709999999999999
U2056I4,2019,1,1.7280000000000002
Z0UGZUX,2019,1,1.3880000000000001
CY29VYP,2019,1,1.1520000000000001
T4U02QT,2019,2,1.805
300KJJL,2019,1,3.2969999999999997
JTR14YS,2019,1,1.0270000000000001
SC6063E,2019,2,2.6239999999999997
U5WVUF1,2019,2,1.791
5F64AB5,2019,2,1.5630000000000002
W2Z3JBW,2019,3,8.774
4IJ8ESE,2019,1,5.442
Z7VPO24,2019,1,1.249
9P72KZ4,2019,1,3.082
L72SB26,2019,2,1.874
MEO87GJ,2019,3,3.707
SFV9LSG,2019,1,2.207
K3O456I,2019,2,2.11
L77360S,2019,1,4.449
94TMHO2,2019,2,3.068
UBEF2YN,2019,3,2.062
SBYFSBU,2019,3,4.776
41YH67V,2019,3,2.416
JCZF37X,2019,3,2.992
JXIVZVW,2019,3,2.235
8ZQ4B5R,2019,2,3.0610000000000004
KDKR7EL,2019,1,2.7
S8OKS94,2019,2,2.7489999999999997
HYW5A9I,2019,3,4.428999999999999
NDPCOC2,2019,2,1.3119999999999998
QH4EQE3,2019,1,1.208
3RSX1ZQ,2019,1,0.146
DL7DC8P,2019,1,2.2
E6IMABN,2019,1,1.548
UZ1C7YX,2019,1,0.271
LIT66TF,2019,1,0.659
SMQV7XO,2019,1,1.5130000000000001
HXGOWQD,2019,3,2.069
H188WLB,2019,2,4.213
4O45UMO,2019,1,2.9360000000000004
ZYZS6E1,2019,3,1.4369999999999998
TADPR26,2019,1,1.652
Y707C13,2019,3,2.804
QHI9NMP,2019,2,2.4290000000000003
QWOLK2O,2019,1,3.2489999999999997
YKWPM6R,2019,1,2.242
1CKVUBN,2019,2,3.603
HYGETPG,2019,3,4.005
HI8LUS9,2019,1,4.859
EC5GQPE,2019,3,8.149
ROVRC2P,2019,3,4.005
Y4SGU6N,2019,3,3.804
T723LCJ,2019,3,5.664
WV7IICI,2019,1,5.345
3JO79QO,2019,2,3.616
MYJ93MZ,2019,3,3.589
AVX5V30,2019,3,5.1160000000000005
A36T25S,2019,2,1.805
3XCM4SN,2019,2,1.402
2L5RLP5,2019,3,2.95
EV5MPB0,2019,3,2.707
1CC9077,2019,2,6.171
P2Q8B8E,2019,3,5.2410000000000005
NLRB0KA,2019,2,3.7689999999999997
ZPEZT65,2019,3,0.764
QO29LPE,2019,2,1.7009999999999998
WF4806D,2019,2,1.354
ABXFN8B,2019,1,1.819
2M811A5,2019,1,0.555
0B3XPZZ,2019,2,5.9639999999999995
A1POAKR,2019,3,0.153
RN6WJRO,2019,2,3.852
RRLNMGO,2019,3,5.234
6JUN0JP,2019,2,2.096
CFK6Z08,2019,3,6.9270000000000005
ATNP7ZB,2019,3,2.18
38CSVS1,2019,2,1.0759999999999998
NVQ1E6U,2019,3,0.305
XGOGRB8,2019,2,3.429
0KZ4FHH,2019,2,0.41
J6M20X0,2019,1,0.528
5OG4E5X,2019,3,0.25
2OKWGK7,2019,3,4.1930000000000005
8IDTQDZ,2019,3,2.2840000000000003
KU1ALUF,2019,2,1.597
QI1RNKG,2019,2,3.9139999999999997
VILC1V0,2019,3,3.665
LYCWTBR,2019,2,3.5189999999999997
IK58Z94,2019,2,4.42
NVV2075,2019,3,2.335
U9VNU5T,2019,1,1.263
LFUCULC,2019,2,2.679
DOBGPVE,2019,2,4.533
NW44ZIL,2019,2,2.867
RDDIINS,2019,2,3.6439999999999997
8B18HX0,2019,3,2.298
B1BCI7E,2019,3,3.2
VRGS6MJ,2019,3,3.7969999999999997
VGVDBEY,2019,2,3.741
OTUOSYY,2019,3,2.381
9C5GPDH,2019,3,1.631
SHHWLP3,2019,3,2.825
41GYOE4,2019,2,3.23
UG6DTZX,2019,3,2.978
3XBW5YI,2019,2,3.825
P7AZFJW,2017,1,4.75625
UDP0CR3,2017,1,4.65625
NSZW9YF,2017,3,3.06875
FMHBDBZ,2017,3,2.41875
335VZJU,2017,2,1.76875
XTOGH48,2017,3,3.16875
G6058T9,2017,3,4.56875
M4Z6NPB,2017,2,3.50625
L2199YS,2017,3,4.34375
THSAJ1V,2017,3,5.2375
WCJE5US,2017,3,5.04375
N32O6GT,2017,3,2.36875
NOCCWL1,2017,1,3.74875
F5D3RRN,2017,3,5.0875
3UY5O1A,2017,3,3.09375
830ROQ7,2017,3,2.62875
MBMRZQZ,2017,3,5.7875
3SVGLDM,2017,3,5.2625
PGX6I9M,2017,2,5.1125
JFVZ4V4,2017,3,3.90625
31WBJL1,2017,3,3.1
BMN8NV5,2017,2,3.25
1GZVWML,2017,2,2.2125
I9YGV3U,2017,3,2.87625
XYMFIEH,2017,3,4.3125
5E3BHEK,2017,3,4.69
9DTG2MM,2017,3,3.3125
BUCMMA3,2017,2,1.7
NF69N87,2017,3,5.60625
5NQEN2A,2017,3,4.415
VZS1P77,2017,2,3.2825
ZSVNPCZ,2017,3,4.955
2GVUP1Q,2017,3,2.55
2KFCDYE,2017,3,4.40125
VAOW0QQ,2017,2,2.45625
6LMV94L,2017,3,2.51875
PRGQO6D,2017,3,6.31875
RQ9B6O0,2017,3,2.93125
PV7Q6NA,2017,3,5.21875
NLWP5LI,2017,3,6.9625
IQ7EG2V,2017,2,2.69375
Z8WS278,2017,2,2.29375
8FW53SQ,2017,2,3.34375
TQI6DS8,2017,3,4.38
ZCJHD8L,2017,2,5.6125
Z9R6HGG,2017,3,2.43125
K7L9NK9,2017,3,2.6825
EH81J2O,2017,2,6.54625
85457C0,2017,3,2.4975
NX1N1LP,2017,2,3.09375
1W6HNNS,2017,2,6.125
PLSAQXH,2017,2,0.0875
LVZSN1W,2017,1,3.24125
SCURT5K,2017,2,3.98125
VK9349A,2017,1,3.16875
IOLSQGE,2017,3,5.3875
L25SYJO,2017,3,6.2125
72XJWG1,2017,3,6.66875
ASGJQ2P,2017,3,3.49375
1VUEWFQ,2017,3,1.58125
ZS6MYPT,2017,3,3.39375
RTB7RNA,2017,2,2.43125
KFGTSHX,2017,2,2.6375
8EHQ4BM,2017,2,5.21875
BIGKR72,2017,3,2.98125
2GHXE12,2017,3,5.65625
1NJ05H1,2017,1,3.9375
5063C6O,2017,2,5.675
QRQZ7AA,2017,2,3.65
XEYW5TM,2017,3,2.9625
CDTFAZE,2017,2,1.60875
XDT9015,2017,2,2.125
4VUW982,2017,2,4.22625
WM358E6,2017,3,2.1625
3PD9EOJ,2017,2,4.25
TL8G19K,2017,3,2.68
KZ0DLGG,2017,3,2.1825
J992BZ6,2017,2,4.09375
ODUX4FS,2017,2,3.54375
XAQYW3K,2017,2,2.31875
G5OP39H,2017,3,3.18125
B5WEJC1,2017,3,3.825
SVXZ4YS,2017,3,1.725
G00S91S,2017,2,6.425
FWS526U,2017,3,4.14
8RJH9KI,2017,3,1.96875
DJJ4CYW,2017,2,2.25
UGG9QSJ,2017,3,7.04375
RPUYJYU,2017,3,1.9975
1M3PV84,2017,2,3.88125
KSEVJ99,2017,3,1.7125
4SOJFXP,2017,3,1.6825
8TWXHT6,2017,2,2.8375
UR1UGP4,2017,3,4.16625
EOT30MR,2017,2,2.875
IDTJSHD,2017,3,4.6
71EIR0I,2017,3,1.8625
KMZM7LV,2017,3,2.5425
4EDE3C0,2017,3,2.68125
8HN0QZR,2017,3,4.1875
3ZBXZNK,2017,2,3.84375
